iter	Passed	Remaining
0	100	99975
1	100	50243
2	101	33645
3	101	25346
4	102	20366
5	102	17056
6	103	14688
7	103	12888
8	104	11505
9	105	10402
10	105	9494
11	106	8743
12	106	8101
13	107	7551
14	107	7073
15	108	6655
16	108	6288
17	109	5961
18	109	5670
19	110	5404
20	110	5164
21	111	4945
22	111	4746
23	112	4564
24	112	4397
25	113	4241
26	113	4098
27	114	3967
28	114	3844
29	115	3729
30	116	3638
31	116	3538
32	117	3446
33	118	3359
34	118	3274
35	119	3195
36	120	3123
37	120	3052
38	121	2984
39	121	2920
40	122	2859
41	122	2801
42	123	2745
43	123	2692
44	124	2643
45	125	2594
46	125	2547
47	126	2503
48	126	2460
49	127	2419
50	127	2378
51	128	2337
52	128	2299
53	129	2262
54	129	2226
55	130	2192
56	130	2160
57	131	2130
58	131	2101
59	132	2073
60	132	2044
61	133	2018
62	133	1992
63	134	1967
64	135	1942
65	135	1918
66	136	1895
67	136	1872
68	137	1851
69	137	1830
70	138	1812
71	139	1792
72	139	1772
73	140	1753
74	140	1734
75	141	1716
76	141	1700
77	142	1683
78	142	1666
79	143	1649
80	143	1633
81	144	1617
82	144	1599
83	145	1586
84	146	1572
85	146	1557
86	147	1543
87	147	1529
88	148	1516
89	148	1503
90	149	1490
91	149	1477
92	150	1465
93	150	1454
94	151	1442
95	151	1431
96	152	1420
97	153	1409
98	153	1398
99	154	1387
100	154	1377
101	155	1367
102	155	1357
103	156	1347
104	156	1337
105	157	1328
106	158	1319
107	158	1309
108	159	1300
109	159	1291
110	160	1282
111	160	1274
112	161	1266
113	161	1257
114	162	1249
115	162	1241
116	163	1232
117	163	1225
118	164	1218
119	165	1210
120	165	1203
121	166	1195
122	166	1187
123	167	1180
124	167	1173
125	168	1166
126	168	1158
127	169	1152
128	169	1145
129	170	1138
130	170	1131
131	171	1125
132	171	1119
133	172	1113
134	172	1107
135	173	1100
136	173	1094
137	174	1088
138	174	1083
139	175	1077
140	175	1072
141	176	1065
142	176	1060
143	177	1054
144	178	1049
145	178	1045
146	179	1040
147	179	1035
148	180	1030
149	180	1025
150	181	1020
151	182	1015
152	182	1011
153	183	1006
154	183	1001
155	184	996
156	184	992
157	185	987
158	185	983
159	186	978
160	186	973
161	187	968
162	187	964
163	188	960
164	188	956
165	189	952
166	190	948
167	190	943
168	191	939
169	191	935
170	192	931
171	192	927
172	193	923
173	193	919
174	194	916
175	194	912
176	195	908
177	195	904
178	196	900
179	196	896
180	197	892
181	197	889
182	198	885
183	198	882
184	199	878
185	200	875
186	200	872
187	201	868
188	201	865
189	202	862
190	202	859
191	203	856
192	204	853
193	204	849
194	205	846
195	205	843
196	206	840
197	206	837
198	207	833
199	207	831
200	208	828
201	208	825
202	209	822
203	210	819
204	210	816
205	211	814
206	211	811
207	212	808
208	212	805
209	213	803
210	213	800
211	214	797
212	215	794
213	215	791
214	216	789
215	216	786
216	217	784
217	217	781
218	218	778
219	218	775
220	219	773
221	220	771
222	220	768
223	221	765
224	221	763
225	222	761
226	223	759
227	223	757
228	224	755
229	225	753
230	225	751
231	226	748
232	226	746
233	227	743
234	227	741
235	228	739
236	228	737
237	229	734
238	230	732
239	230	730
240	231	728
241	231	726
242	232	724
243	232	721
244	233	719
245	234	717
246	234	715
247	235	713
248	235	711
249	236	708
250	236	706
251	237	704
252	237	702
253	238	700
254	239	698
255	239	696
256	240	694
257	240	692
258	241	690
